21238:   tor -f /etc/tor/torrc
0000563f8e81e000    384K r---- tor
0000563f8e87e000   1892K r-x-- tor
0000563f8ea57000    888K r---- tor
0000563f8eb35000     56K r---- tor
0000563f8eb43000     48K rw--- tor
0000739b26702000      4K -----   [ anon ]
0000739b26703000      4K rw---   [ anon ]
0000739b26704000      4K -----   [ anon ]
0000739b26705000      4K rw---   [ anon ]
0000739b26706000      4K -----   [ anon ]
0000739b26707000      4K rw---   [ anon ]
0000739b26708000      4K -----   [ anon ]
0000739b26709000      4K rw---   [ anon ]
0000739b2670a000      4K -----   [ anon ]
0000739b2670b000      4K rw---   [ anon ]
0000739b2670c000      4K -----   [ anon ]
0000739b2670d000      4K rw---   [ anon ]
0000739b2670e000      4K -----   [ anon ]
0000739b2670f000      4K rw---   [ anon ]
0000739b26710000      4K -----   [ anon ]
0000739b26711000      4K rw---   [ anon ]
0000739b26712000      4K -----   [ anon ]
0000739b26713000      4K rw---   [ anon ]
0000739b26714000      4K -----   [ anon ]
0000739b26715000      4K rw---   [ anon ]
0000739b26716000      4K -----   [ anon ]
0000739b26717000      4K rw---   [ anon ]
0000739b26718000      4K -----   [ anon ]
0000739b26719000      4K rw---   [ anon ]
0000739b2671a000      4K -----   [ anon ]
0000739b2671b000      4K rw---   [ anon ]
0000739b2671c000      4K -----   [ anon ]
0000739b2671d000      4K rw---   [ anon ]
0000739b2671e000      4K -----   [ anon ]
0000739b2671f000      4K rw---   [ anon ]
0000739b26720000      4K -----   [ anon ]
0000739b26721000      4K rw---   [ anon ]
0000739b26722000      4K -----   [ anon ]
0000739b26723000      4K rw---   [ anon ]
0000739b26724000      4K -----   [ anon ]
0000739b26725000      4K rw---   [ anon ]
0000739b26726000      4K -----   [ anon ]
0000739b26727000      4K rw---   [ anon ]
0000739b26728000      4K -----   [ anon ]
0000739b26729000      4K rw---   [ anon ]
0000739b2672a000      4K -----   [ anon ]
0000739b2672b000      4K rw---   [ anon ]
0000739b2672c000      4K -----   [ anon ]
